English,Chinese
manually,手动
strategy,战略
decimal,十进制
asynchronous,异步
vine,藤蔓
unusually,异常
touchdown,接地
toddler,学步的儿童
specimen,样品
secular,世俗
peculiar,奇特
mighty,强大
lump,块
loaf,面包
legislator,立法者
glow,辉光
glen,格伦
foremost,最重要的
explorer,探险家
disruption,破坏
patron,赞助人
disguise,伪装
debris,碎片
cub,幼兽
commentary,评论
faction,派
haunt,出没
bout,回合
relentless,狠
dye,染料
tribal,部落
analogy,比喻
bankruptcy,破产
flank,侧翼
applaud,鼓掌
communal,共计套
invert,倒置
cyclical,周期性
scribes,划线
origins,起源
viewable,可爱
compensation,赔偿
specific,具体的
analyst,分析师
analytics,分析
respectively,分别
priority,优先事项
execute,执行
indentation,缩进
audible,可听
adjacent,邻近的
backfire,反馈
scale,规模
consistency,一致性
diverge,分歧
scripts,脚本
delicate,精美的
vacuum,真空
payoff,付清
probing,探索
collision,碰撞
retrieve,取回
sequential,顺序
aggregation,聚合
aggregate,总计的
literature,文学
immersed,浸没
perception,洞察力
harmony,和谐
athletically,竞技
animation,动画片
topology,拓扑
deficiency,不足
transactions,交易
proactive,积极主动的
situation,情况
pronunciation,发音
termination,终止
STATS,统计
Portuguese,葡萄牙语
reveal,揭示
butts,屁股
snuffing,鼻儿所
decent,体面的
disequilibrium,不平衡
linkage,连锁
vague,模糊的
convincing,劝告
phonemes,音素
polish,抛光
intonation,语调
mimic,模仿
colloquialism,俗语
heaps,堆
recognition,认出
acquisition,获得
lesion,病变
precancerous,癌
deficient,缺乏
calcium,钙
compound,化合物
heme,血红素
mandatory,强制的
conducive,有利
probiotics,益生菌
ferment,发酵
restoration,恢复
constipation,便秘
Candida,念珠菌
problematic,有问题的
inflammation,炎
intestinal,肠
gut,胆量
fidget,烦恼
standardize,标准化
deliberately,故意地
ignition,点火
deconstruct,解构
leptin,瘦白
stimulate,刺激
insulin,胰岛素
digest,消化
lactate,乳酸
tempting,诱人
tasty,可口
eternity,永恒
agony,痛苦
visualize,可视化
spike,长钉
deprivation,剥夺
deprive,剥夺
lethargic,昏昏欲睡
expenditure,支出
tangible,有形
reassure,保证
crappy,蹩脚
incredibly,令人难以置信的
bumpers,保险杠
diffuse,扩散
dopamine,多巴胺
willpower,意志
hippocampus,海马
procrastinate,拖延
floss,牙线
irritated,烦人的
abstain,弃权
incremental,增加的
robust,强大的
elapsed,过去
burst,爆裂
schematic,原理图
tabulation,制表
temporal,颞
inventory,存货
consequence,结果
transaction,交易
underlying,潜在的
inconsistency,不一致
preliminary,初步的
probe,探测
phobia,恐怖症
scratch,挠
dietary,饮食
prep,准备
nutritious,营养丰富
linger,萦绕
collard,雕花
mustard greens,芥菜蔬菜
catering,餐饮
ultimate,最终的
swiftly,迅速
troops,军队
withdrawal,退出
decadent,颓废
pastries,糕点
leisurely,悠闲
agile,敏捷
inflexible,不灵活
coarse,粗
granularity,粒度
coupling,耦合
hybrid,杂交种
inverse,逆
inherently,固有
indicate,表明
predominant,占主导地位
asymmetric,不对称
consistent,持续的
manipulate,操纵
archival,档案馆
clusters,簇生
remain,保持
fault,过错
threshold,临界点
arbitrary,随意的
stall,摊
connectivity,连通性
detection,检测
persuasion,劝说
corporate,公司的
respondent,被告
scenario,设想
sophisticated,复杂的
generate,产生
feasibility,可行性
verify,核实
generators,发电机
allocation,分配
statistical,统计
inverting,反转
indicator,指标
characteristics,特征
multicasting,多播
scaling,缩放
simultaneous,同时
heuristic,启发式
vendor,小贩
Woolf,伍尔夫
dense,稠密
incur,招致
validate,证实
consecutive,连续的
distinction,区别
derive,派生
